,Alphas,Layers,Solvers,R2
247,0.001,"(5, 2, 10)",adam,0.13612281465943854
248,0.001,"(5, 2, 10)",sgd,0.08795833328311575
249,0.001,"(5, 2, 20)",lbfgs,0.14217340926955557
250,0.001,"(5, 2, 20)",adam,0.13412075945615531
251,0.001,"(5, 2, 20)",sgd,0.03306522589311045
252,0.001,"(5, 5, 2)",lbfgs,0.13793986807394054
253,0.001,"(5, 5, 2)",adam,0.1377484225217156
254,0.001,"(5, 5, 2)",sgd,0.0415091083782122
255,0.001,"(5, 5, 5)",lbfgs,0.14293545144775566
256,0.001,"(5, 5, 5)",adam,0.13686618331206457
257,0.001,"(5, 5, 5)",sgd,0.130213448395737
258,0.001,"(5, 5, 10)",lbfgs,0.13543517287454587
259,0.001,"(5, 5, 10)",adam,0.13648480243396732
260,0.001,"(5, 5, 10)",sgd,0.13372730054578397
261,0.001,"(5, 5, 20)",lbfgs,0.13491462064835236
262,0.001,"(5, 5, 20)",adam,0.14300863342014558
263,0.001,"(5, 5, 20)",sgd,0.06861190505039305
264,0.001,"(5, 10, 2)",lbfgs,0.1327311106077389
265,0.001,"(5, 10, 2)",adam,0.13810694809581614
266,0.001,"(5, 10, 2)",sgd,0.1260855012618679
267,0.001,"(5, 10, 5)",lbfgs,-7.473224597309702e-05
268,0.001,"(5, 10, 5)",adam,0.13770798975508425
269,0.001,"(5, 10, 5)",sgd,0.09453795651738839
270,0.001,"(5, 10, 10)",lbfgs,0.1462496579136906
271,0.001,"(5, 10, 10)",adam,0.13547027512762633
272,0.001,"(5, 10, 10)",sgd,0.08967018854719122
273,0.001,"(5, 10, 20)",lbfgs,0.13394786078158027
274,0.001,"(5, 10, 20)",adam,0.13808203350243886
275,0.001,"(5, 10, 20)",sgd,0.10864385354957506
276,0.001,"(5, 20, 2)",lbfgs,0.1473528040001163
277,0.001,"(5, 20, 2)",adam,-0.004632130992237471
278,0.001,"(5, 20, 2)",sgd,-5.902123243273216e-05
279,0.001,"(5, 20, 5)",lbfgs,0.1436752341174541
280,0.001,"(5, 20, 5)",adam,0.14231202582015778
281,0.001,"(5, 20, 5)",sgd,-0.00013732742497096773
282,0.001,"(5, 20, 10)",lbfgs,0.14456902934181837
283,0.001,"(5, 20, 10)",adam,0.13776305425452906
284,0.001,"(5, 20, 10)",sgd,0.08256299127138444
285,0.001,"(5, 20, 20)",lbfgs,0.12587644799710573
286,0.001,"(5, 20, 20)",adam,0.1411772309340783
287,0.001,"(5, 20, 20)",sgd,0.08992196523138418
288,0.001,"(10, 2, 2)",lbfgs,-7.47322419138996e-05
289,0.001,"(10, 2, 2)",adam,0.13589190412028418
290,0.001,"(10, 2, 2)",sgd,-8.893334427395594e-05
291,0.001,"(10, 2, 5)",lbfgs,0.12231755181745496
292,0.001,"(10, 2, 5)",adam,0.14196350980049244
293,0.001,"(10, 2, 5)",sgd,0.10734992203069793
